nc = 37;
np = 2;
nv = 30;
tt = [
[36, 36, 36, 36, 36, 36, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 46, 46, 51, 51, 51, 44, 44],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[4172.995, 4172.995, 4172.995, 4172.995, 4172.995, 4172.995, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 2627.17, 3376.975, 3938.82, 3938.82, 3938.82, 3654.3500000000004, 3332.4900000000002],
[4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 3376.975, 2534.08, 3845.73, 3845.73, 3845.73, 3561.26, 3239.4],
[4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 3938.82, 3845.73, 3095.925, 4407.575000000001, 4407.575000000001, 4123.1050000000005, 3801.2450000000003],
[4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 3938.82, 3845.73, 4407.575000000001, 3095.925, 4407.575000000001, 4123.1050000000005, 3801.2450000000003],
[4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 3938.82, 3845.73, 4407.575000000001, 4407.575000000001, 3095.925, 4123.1050000000005, 3801.2450000000003],
[4357.28, 4357.28, 4357.28, 4357.28, 4357.28, 4357.28, 4451.595, 4451.595, 4451.595, 4451.595, 4451.595, 4451.595, 4451.595, 4451.595, 4451.595, 4451.595, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 4595.73, 3654.35, 3561.2599999999998, 4123.105, 4123.105, 4123.105, 2811.455, 3516.775],
[4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4129.735000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 4273.870000000001, 3332.4900000000002, 3239.4, 3801.2450000000003, 3801.2450000000003, 3801.2450000000003, 3516.7750000000005, 2489.5950000000003]
],
[
[3330.1000000000004, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 3330.1000000000004, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 3330.1000000000004, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 3330.1000000000004, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 3330.1000000000004, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3330.1000000000004, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 3424.415, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 3424.415, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 3424.415, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 3424.415, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 5064.555, 3424.415, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 3424.415, 5064.555, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 3424.415, 5064.555, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 3424.415, 5064.555, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 3424.415, 5064.555, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 5064.555, 3424.415, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 4267.3099999999995, 4174.22, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4451.595, 4129.735],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3424.415, 3424.415, 3424.415, 3424.415, 3424.415, 3424.415, 3424.415, 3424.415, 3424.415, 3424.415, 3568.55, 3568.55, 3568.55, 3568.55, 3568.55, 3568.55, 1784.275, 3568.55, 3568.55, 3568.55, 3568.55, 3568.55, 3568.55, 3568.55, 2627.17, 2534.08, 3095.925, 3095.925, 3095.925, 2811.455, 2489.5950000000003],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 5352.825000000001, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5208.6900000000005, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 5352.825000000001, 3568.55, 4411.445, 4318.3550000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4595.7300000000005, 4273.87],
[4172.995, 4172.995, 4172.995, 4172.995, 4172.995, 4172.995, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4267.31, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 4411.445, 2627.17, 3376.975, 3938.82, 3938.82, 3938.82, 3654.3500000000004, 3332.4900000000002],
[4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4079.9049999999997, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4174.22, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 4318.355, 3376.975, 2534.08, 3845.73, 3845.73, 3845.73, 3561.26, 3239.4],
[4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 3938.82, 3845.73, 3095.925, 4407.575000000001, 4407.575000000001, 4123.1050000000005, 3801.2450000000003],
[4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4736.0650000000005, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 4880.200000000001, 3938.82, 3845.73, 4407.575000000001, 3095.925, 4407.575000000001, 4123.1050000000005, 3801.2450000000003],
